Ano;Trimestre;Establecimiento;Indicador;Meta;Numerador;Denominador;Resultado;Cumplimiento;Ponderador
2012;4;HOSPITAL NACIMIENTO;META 5: PORCENTAJE DE CASOS DE GARANTIAS EXPLICITAS EN SALUD CON INDICACION DE TRATAMIENTO, EN LOS CASOS QUE SE CUMPLEN LAS GARANTIAS DE OPORTUNIDAD DE INICIO DE TRATAMIENTO;1,00;3290;3291;1,00;1,00;0,15
2012;4;HOSPITAL NACIMIENTO;META 6: PORCENTAJE DE ATENCIONES TRAZADORAS DE TRATAMIENTO GES OTORGADAS SEGÚN LO PROGRAMADO DE ATENCIONES TRAZADORAS DE TRATAMIENTO GES EN CONTRATO PPV PARA EL AÑO 2011;1,00;1125;1117;1,01;1,00;0,15
2012;4;HOSPITAL NACIMIENTO;META 7: PORCENTAJE DE FUNCIONARIOS REGIDOS POR E.A. QUE ASISTIERON DURANTE EL AÑO 2011 AL MENOS A UNA ACTIVIDAD DE CAPACITACIÓN PERTINENTE EN GES, MODELO DE ATENCIÓN, GESTION EN RED ASISTENCIAL,MEJORAMIENTO DE LA CALIDAD DE ATENCION Y TRATO AL USUARIO;0,90;107;114;0,99;1,00;0,15
2012;4;HOSPITAL LAJA;META 1:PORCENTAJE DE PACIENTES HIPERTENSOS COMPENSADOS BAJO CONTROL  EN EL GRUPO DE 20 Y MAS AÑOS EN EL NIVEL PRIMARIO;0,56;1529;2450;0,62;1,00;0,15
2012;4;HOSPITAL LAJA;META 2: PORCENTAJE DE PACIENTES DIABETICOS COMPENSADOS BAJO CONTROL EN EL  GRUPO DE 20 Y MAS AÑOS EN EL NIVEL PRIMARIO;0,42;464;1109;0,42;1,00;0,15
2012;4;HOSPITAL LAJA;META 3: PORCENTAJE DE CONSULTAS DE PROFESIONALES PROGRAMADAS Y REALIZADAS;0,95;31819;30897;1,03;1,00;0,10
2012;4;HOSPITAL LAJA;META 4: ALTAS ODONTOLOGICAS TOTALES EN EMBARAZADAS BAJO CONTROL, BENEFICIARIAS DEL NIVEL PRIMARIO;0,69;181;245;0,74;1,00;0,15
2012;4;HOSPITAL LAJA;META 5: PORCENTAJE DE CASOS DE GARANTIAS EXPLICITAS EN SALUD CON INDICACION DE TRATAMIENTO, EN LOS CASOS QUE SE CUMPLEN LAS GARANTIAS DE OPORTUNIDAD DE INICIO DE TRATAMIENTO;1,00;3255;3273;0,99;0,99;0,15
2012;4;HOSPITAL LAJA;META 6: PORCENTAJE DE ATENCIONES TRAZADORAS DE TRATAMIENTO GES OTORGADAS SEGÚN LO PROGRAMADO DE ATENCIONES TRAZADORAS DE TRATAMIENTO GES EN CONTRATO PPV PARA EL AÑO 2011;1,00;1353;1189;1,14;1,00;0,15
2012;4;HOSPITAL LAJA;META 7: PORCENTAJE DE FUNCIONARIOS REGIDOS POR E.A. QUE ASISTIERON DURANTE EL AÑO 2011 AL MENOS A UNA ACTIVIDAD DE CAPACITACIÓN PERTINENTE EN GES, MODELO DE ATENCIÓN, GESTION EN RED ASISTENCIAL,MEJORAMIENTO DE LA CALIDAD DE ATENCION Y TRATO AL USUARIO;0,80;104;112;0,93;1,00;0,15
2012;4;HOSPITAL SANTA BARBARA;META 1:PORCENTAJE DE PACIENTES HIPERTENSOS COMPENSADOS BAJO CONTROL  EN EL GRUPO DE 20 Y MAS AÑOS EN EL NIVEL PRIMARIO;0,67;645;1047;0,62;0,92;0,15
2012;4;HOSPITAL SANTA BARBARA;META 2: PORCENTAJE DE PACIENTES DIABETICOS COMPENSADOS BAJO CONTROL EN EL  GRUPO DE 20 Y MAS AÑOS EN EL NIVEL PRIMARIO;0,46;215;410;0,52;1,00;0,15
2012;4;HOSPITAL SANTA BARBARA;META 3: PORCENTAJE DE CONSULTAS DE PROFESIONALES PROGRAMADAS Y REALIZADAS;0,98;18211;20450;0,89;0,91;0,10
2012;4;HOSPITAL SANTA BARBARA;META 4: ALTAS ODONTOLOGICAS TOTALES EN EMBARAZADAS BAJO CONTROL, BENEFICIARIAS DEL NIVEL PRIMARIO;0,77;88;109;0,81;1,00;0,15
2012;4;HOSPITAL SANTA BARBARA;META 5: PORCENTAJE DE CASOS DE GARANTIAS EXPLICITAS EN SALUD CON INDICACION DE TRATAMIENTO, EN LOS CASOS QUE SE CUMPLEN LAS GARANTIAS DE OPORTUNIDAD DE INICIO DE TRATAMIENTO;1,00;2407;2409;1,00;1,00;0,15
2012;4;HOSPITAL SANTA BARBARA;META 6: PORCENTAJE DE ATENCIONES TRAZADORAS DE TRATAMIENTO GES OTORGADAS SEGÚN LO PROGRAMADO DE ATENCIONES TRAZADORAS DE TRATAMIENTO GES EN CONTRATO PPV PARA EL AÑO 2011;1,00;556;777;0,72;0,72;0,15
2012;4;HOSPITAL SANTA BARBARA;META 7: PORCENTAJE DE FUNCIONARIOS REGIDOS POR E.A. QUE ASISTIERON DURANTE EL AÑO 2011 AL MENOS A UNA ACTIVIDAD DE CAPACITACIÓN PERTINENTE EN GES, MODELO DE ATENCIÓN, GESTION EN RED ASISTENCIAL,MEJORAMIENTO DE LA CALIDAD DE ATENCION Y TRATO AL USUARIO;0,87;91;91;1,00;1,00;0,15
2012;4;HOSPITAL YUMBEL;META 1:PORCENTAJE DE PACIENTES HIPERTENSOS COMPENSADOS BAJO CONTROL  EN EL GRUPO DE 20 Y MAS AÑOS EN EL NIVEL PRIMARIO;0,67;1038;1528;0,68;1,00;0,15
2012;4;HOSPITAL YUMBEL;META 2: PORCENTAJE DE PACIENTES DIABETICOS COMPENSADOS BAJO CONTROL EN EL  GRUPO DE 20 Y MAS AÑOS EN EL NIVEL PRIMARIO;0,56;384;693;0,55;0,99;0,15
2012;4;HOSPITAL YUMBEL;META 3: PORCENTAJE DE CONSULTAS DE PROFESIONALES PROGRAMADAS Y REALIZADAS;0,98;25005;24530;1,02;1,00;0,10
2012;4;HOSPITAL YUMBEL;META 4: ALTAS ODONTOLOGICAS TOTALES EN EMBARAZADAS BAJO CONTROL, BENEFICIARIAS DEL NIVEL PRIMARIO;0,75;89;108;0,82;1,00;0,15
2012;4;HOSPITAL YUMBEL;META 5: PORCENTAJE DE CASOS DE GARANTIAS EXPLICITAS EN SALUD CON INDICACION DE TRATAMIENTO, EN LOS CASOS QUE SE CUMPLEN LAS GARANTIAS DE OPORTUNIDAD DE INICIO DE TRATAMIENTO;1,00;1345;1349;1,00;1,00;0,15
2012;4;HOSPITAL YUMBEL;META 6: PORCENTAJE DE ATENCIONES TRAZADORAS DE TRATAMIENTO GES OTORGADAS SEGÚN LO PROGRAMADO DE ATENCIONES TRAZADORAS DE TRATAMIENTO GES EN CONTRATO PPV PARA EL AÑO 2011;1,00;1065;1122;0,95;0,95;0,15
